modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,nada,1,0.5,0.17857142857142858,0.2157862231077745,0.4148925016891621
vetorial,nada,2,0.4,0.16666666666666666,0.1843984793317557,0.5462733990623777
vetorial,nada,3,0.5,0.625,0.5950831807081807,0.699114405707918
vetorial,nada,4,0.1,0.5,0.5909090909090909,0.6131471927654584
vetorial,nada,5,0.1,0.25,0.09510630498533723,0.15048880767085435
vetorial,nada,6,0.1,0.25,0.07686771812300049,0.14067013006711881
vetorial,nada,7,0.2,0.4,0.13750812014606326,0.24174372856281692
vetorial,nada,8,0.1,0.09090909090909091,0.068618637763679,0.09508977831648074
vetorial,nada,9,0.3,1.0,0.6428571428571429,0.8278123145308897
vetorial,nada,10,0.2,0.25,0.09318905258681033,0.19157602659138315
vetorial,nada,11,0.1,0.14285714285714285,0.14068895994976163,0.10176933156101466
vetorial,nada,12,0.2,0.4,0.2075824175824176,0.20420018479161695
vetorial,nada,13,0.0,0.0,0.0035316655800759844,0.0
vetorial,nada,14,0.2,1.0,0.6666666666666666,0.9406765852469334
vetorial,nada,15,0.2,1.0,0.8333333333333333,0.7601875334318685
vetorial,nada,16,0.1,0.3333333333333333,0.18787878787878787,0.23981246656813146
vetorial,nada,17,0.1,0.5,0.5212765957446809,0.7039180890341347
vetorial,nada,18,0.1,0.3333333333333333,0.09685990338164252,0.1815417925373527
vetorial,nada,19,0.1,0.1111111111111111,0.035847930294265806,0.07107495213134166
vetorial,nada,20,0.5,0.5555555555555556,0.486039886039886,0.4825458856047935
vetorial,nada,21,0.1,0.25,0.13000871080139373,0.24230258077527242
vetorial,nada,22,0.0,0.0,0.0018248175182481751,0.0
vetorial,nada,23,0.2,0.0625,0.11535102767865552,0.22453787657285357
vetorial,nada,24,0.2,0.6666666666666666,0.5578811369509044,0.7636451603657846
vetorial,nada,25,0.4,0.4444444444444444,0.42634801649757453,0.4605201488866635
vetorial,nada,26,0.2,0.3333333333333333,0.13337290480102862,0.2535161799800604
